;ID;Post_URL;Img_URL;Likes;Owner;Text;Date
11;CLsHjkNLZh9;http://instagram.com/p/CLsHjkNLZh9;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/153823458_1620257198363225_6945701112591809960_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=105&_nc_ohc=CNQKAUMZ4ioAX9D6GxF&oh=f90a14241f2f224735ffac5cc3b106ec&oe=60654F74;86;10803867869;MAI.  LA JUVE SIAMO NOI.  #curvascirea #curvasud #drughi #drughimagenta #drughigiovinezza #vikingmilano #vikingmilano1986 #vikingjuve #torino #tradizioneav #tradizioneantichivalori #turin #tradizione #nucleoarmatobianconero #nucleo1985 #nab #ultras #ultra #noalcalciomoderno;24/02/2021 22:03
12;CLsHG4jnT5H;http://instagram.com/p/CLsHG4jnT5H;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/153278795_115947167148043_8180521400769614050_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=107&_nc_ohc=eJFO1gqXwlkAX-XPyP_&oh=079becfcbc217686d503f169efd290dc&oe=6063889F;9;1367255765;E d'un tratto capii che il pensare è per gli stupidi, mentre i cervelluti si affidano all'ispirazione, e a quello che il buon Bog manda loro. La musica mi venne in aiuto. C'era una finestra aperta con uno stereo, e seppi subito che cosa fare.  #aranciameccanica #aclockworkorange #stanleykubrick #alexanderdelarge #drughi #iris #durango95 #ultraviolence #lattepiù;24/02/2021 21:59
13;CLsGpVDhpJN;http://instagram.com/p/CLsGpVDhpJN;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/152823028_262124225296027_5233833111341312303_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=107&_nc_ohc=alRJgZK_abQAX_SK-E3&oh=a93981b66d38cf70b5ead63f3fac2948&oe=60636404;184;4328630630;"• ""Il Korova milkbar vende latte+ , cioè diciamo latte rinforzato con qualche droguccia mescalina, che è quel che stavamo bevendo"" • Arancia Meccanica (1971)▪︎#aranciameccanica #aclockworkorange #malcolmmcdowell #drughi #korovamilkbar #stanleykubrick #kubrick #cinema #cinematography #foto #fotoset #fotofilm #thriller #thrillermovie #action #film #movie #cultmovie #cinecult #stracult #anni70 #instamovie #instafilm #instagood #likeforlikes #followme #civediamoalcineclub";24/02/2021 21:55
14;CLsDCIYr_jd;http://instagram.com/p/CLsDCIYr_jd;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/154055394_269781824548453_7054379372662796388_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=101&_nc_ohc=l7gck31VQzEAX9XWtoh&oh=4050ff97e2619f1370e6596e9a08e784&oe=606279E6;92;5736983810;Con la testa all'Hellas💪 ⚪⚫ @juventus . . . #juventus #Juventusstory #jstory #remember #oldphoto #oldjuve #nostalgy #delpiero #adp10 #sport #calcio #fotball #nedved #love #a #seriea #championsleague #futbol #juve #drughi #bianconeri #blackandwhite #finoallafine #forzajuve #forzajuventus #Mandzukic #MarioMandzukic;24/02/2021 21:23
15;CLsAYlTp_is;http://instagram.com/p/CLsAYlTp_is;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/152455308_4083691971663778_597948628960781785_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=110&_nc_ohc=ZQ3a-dtr6fkAX930Mi4&oh=f5e545b75fe07c1969a9be9342699bbe&oe=60629740;373;2148997249;DRUGHER #graffitibern #drugher #drughi #drugh #6ixer #mf2e1 #whiski #bern #roof #street #sixers #graff #graffiti #streetbombing;24/02/2021 21:00
16;CLrQdGwjHco;http://instagram.com/p/CLrQdGwjHco;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/152747243_198631765376489_2485227083371793846_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=105&_nc_ohc=F-oHGSIEsL8AX-TXJ9P&oh=4bf207bc8485e1db690dbb35277920e5&oe=60624550;47;9127843696;•Fototifo• Milan - Juve 1994/95 #drughi #drughibianconeri #drughiultracurvasud #ultrasjuve #curvasudjuve #drughiultràcurvasud #curvasudjuventus #drughijuventus;24/02/2021 14:01
17;CLpfSoMhHWj;http://instagram.com/p/CLpfSoMhHWj;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/152471848_862585727640898_7450376870379882411_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=110&_nc_ohc=CUh8WTF7yEkAX-3f1nc&oh=07e615136a43cbe8c9730ed7de5eebe3&oe=60643664;51;5736983810;IL MAGO 🧙‍♂️ @west.mckennie . . . #juventus #Juventusstory #jstory #remember #oldphoto #oldjuve #nostalgy #delpiero #adp10 #sport #calcio #fotball #nedved #love #a #seriea #championsleague #futbol #juve #drughi #bianconeri #blackandwhite #finoallafine #forzajuve #forzajuventus #Mandzukic #MarioMandzukic;23/02/2021 21:33
18;CLpNmqTDJZG;http://instagram.com/p/CLpNmqTDJZG;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/152774724_335298264528573_3209091177443454001_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=109&_nc_ohc=eSKrVJ018MwAX9od2A8&oh=2c0a9b77f6a1561a75f34604764c1a03&oe=60649F1E;8;9127843696;•Tesseramento• 1994/95 #drughijuve #drughibianconeri #drughiultracurvasud #curvasudjuve #ultrasjuve #drughiultràcurvasud #drughijuventus #curvasudjuventus #drughi;23/02/2021 18:58
19;CLnC1mJr_p-;http://instagram.com/p/CLnC1mJr_p-;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/152466810_343032286940122_7883507894647386593_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=110&_nc_ohc=HJEq51oI_oEAX-qL_Hw&oh=5d4aff46be1b15675c4e92ca3372a049&oe=6062BA4B;86;5736983810;Una Juventus ritrovata e un Cristiano Ronaldo da Oscar. La Juventus vince 3-0 con il Crotone e conquista 3 punti fondamentali. Queste vittorie non sono scontate, anzi sono proprio queste che a fine campionato serviranno.  Aspettare e vedrete, il tempo è galantuomo!❤️ Forza Juventus Fino Alla Fine!⚪️⚫️ @juventus @cristiano . . . #juventus #Juventusstory #jstory #remember #oldphoto #oldjuve #nostalgy #delpiero #adp10 #sport #calcio #fotball #nedved #love #a #seriea #championsleague #futbol #juve #drughi #bianconeri #blackandwhite #finoallafine #forzajuve #forzajuventus #Mandzukic #MarioMandzukic;22/02/2021 22:45
20;CLm7965H8lJ;http://instagram.com/p/CLm7965H8lJ;https://scontent-mxp1-2.cdninstagram.com/v/t51.2885-15/e35/152721209_1833735013467593_4095860611015468626_n.jpg?tp=1&_nc_ht=scontent-mxp1-2.cdninstagram.com&_nc_cat=105&_nc_ohc=MQRnb1q46gUAX_3NeeL&oh=baaa144c6f18ba915d7fc34f5410cf25&oe=60637A50;10;31565896986;E chi non canta resta a casa, che cazzo viene a fare qua☠🏳🏴  #ultrasliberi#curvasudscirea#ultras#ultrasjuve#viking#drughi#tradizione#nab#nucleo;22/02/2021 21:45
