;ID;Post_URL;Img_URL;Likes;Owner;Text;Date
11;CLraHa_gcSA;http://instagram.com/p/CLraHa_gcSA;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/154758153_166016295182249_8106089478080863937_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=WGbbhWZNKjAAX-yjR1K&tp=1&oh=11661e723753e52892857e45fd3e264d&oe=60613730;33;548279385;Dal 23 febbraio 1992. <U+0001F499>  Le vere storie,in fondo,differiscono da tutte le altre per due soli aspetti:dal loro inizio e dall'essere infinite!  XXX...92%. Please Wait!  • • • • • • • • • • • #ultras #hooligans #football #ultrasworld #casual #acab #nopyronoparty #awaydays #pyro #casuals #fans #tifo #casualstyle #ultrasmentality #legapro #ultraslife #soccer #ultrastifo #hooligan #tifosi #calcio #stoneisland #againstmodern #pagani #ultrasliberi #bonek #ultrastyle #bhfyp;24/02/2021 15:26
12;CLrX_FJDonK;http://instagram.com/p/CLrX_FJDonK;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/153539621_120061273392781_8565869218182145386_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=ofmPafYABKoAX9MnIx-&tp=1&oh=027266af6a1071af0f785273f3a07a28&oe=606167FA;93;32166148079;• AC MILAN - Internazionale 97/98  . . . #tifo #tifosi #ultrastyle #ultrastifo #ultraslife #ultrasliberi #ultrasitalia #ultrasitaliani #hincha #hinchada #footballfans #irriducibili #curvasud #curvasudmilano #acmilan1899 #ultrasmilan #forzamilan #acmilan #derby #kibice #fossadeileoni #pyroshow #nopyronoparty #calcio #pyroisnotacrime #ultras #ultrasworld #ultrasitalia #ultrasitaliani #sansiro;24/02/2021 15:07
13;CLrUQ_-rw6G;http://instagram.com/p/CLrUQ_-rw6G;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/152858965_242877117379627_2221882043403582881_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=4mO4u1xDxWgAX9hWq4q&tp=1&oh=41e9539a31c40d4505a8038a5c89d1e6&oe=605F089F;25;33171805959;#ultras #hooligans #football #casual #ultrasworld #acab #pyro #nopyronoparty #awaydays #casuals #tifo #fans #casualstyle #liga #calcio #ultrasliberi #ultra #soccer #hooligan #tifosi #ultrasmentality #ultraslife  #ultrastifo #stoneisland #againstmodernfootball #ultrastyle;24/02/2021 14:35
14;CLrUN-cjrrL;http://instagram.com/p/CLrUN-cjrrL;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/154214172_717550292287067_3981028970000615676_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=my3V4xwwcrUAX8LdQA9&tp=1&oh=c3cfa1aa09c49285325a7e5bff3b2d02&oe=605E4794;99;21674931838;Atalanta vs Ss Lazio 1987/88<U+0001F1EE><U+0001F1F9>  #lazio #laziofans #laziostyle #laziorules #laziocarica #lazio1900 #lazio_in_grande #sslazio #sslazio1900 #sslaziofans #sslazio1900<U+26AA><U+FE0F><U+0001F535> #forzalazio #forzalaziocarica #irr #irriducibili #irriducibililazio #ultraslazio #ultras #ultrasstyle #ultrasmentality #ultrasliberi #calcioitalia #ultrasitaliani #ultrasitalia #ultrasitaly;24/02/2021 14:34
15;CLrTHY1gB9Z;http://instagram.com/p/CLrTHY1gB9Z;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/153183417_653445968953949_7361440655116695527_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=3ZCU9CXkA6IAX81f6lJ&tp=1&oh=3f67eae9d6c38f339f6101ef3d794faa&oe=605E481B;146;1288440725;@thevinniejones trademark on Mr Cantona <U+0001F4A5><U+0001F4A5><U+0001F4A5>  For more casual fashion, where to buy and fashion blunders follow @casualclientclothing  #casuals #ukcasuals #casualscene #casualwayoflife #awaydays #ultras #tifo #stoneisland #;24/02/2021 14:25
16;CLrS5rCAKnX;http://instagram.com/p/CLrS5rCAKnX;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/152545593_1013233732419269_1598621019481870836_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=NXWu3erqdUwAX-4fAcy&tp=1&oh=a6d2a0b3f201b392f31f7c73112e7278&oe=605FA8F4;20;11636684938;Acireale - Troina tra poco in campo  Le formazioni ufficiali. . . . #passioneementalità #ultrasacireale #goodmorning #ultrasliberi #birraebotte #acirealetroina #noncinepinuddu #nonciavretemaicomevoletevoi #oconnoiocontrodinoi #birra #fumogeni #bordello #unicapassione.;24/02/2021 14:23
17;CLrNnd2jzoK;http://instagram.com/p/CLrNnd2jzoK;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/152838757_156911936244559_2089233806202787217_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=ykBOQ2l3St0AX81jAc5&tp=1&oh=1ea5d9f9bba20c980e4eb4b497e6dca4&oe=6038D8BA;31;43603018858;PAOK fans make an incredible scene after securing the title! 25.04.19 <U+0001F1EC><U+0001F1F7>  Follow @thisisourground for more <U+0001F525>  -  #ultras #ultrasmentality #ultrasworld  #pyro #tifo #ultrasmalaya #hooligan #hooligans #hools #soccer #football #support #matchday #footballculture #acab #1312 #stoneisland #ultrasliberi #ultraslife #ultrastyle #thisisourground #paok #paokfc #paokfamily #paokfans #paoknews #paokgate4 #paokthessaloniki #thessaloniki #paokara;24/02/2021 13:37
18;CLrIAAADmP0;http://instagram.com/p/CLrIAAADmP0;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/152764812_767057960605689_4330302858770464265_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=XLl-ElID8GMAX8srcYG&tp=1&oh=669cad943ad7e991fb0de496f54ae691&oe=6060483D;116;3662148002;• Ultras una vita e non solo una partita! <U+0001F3F4>#wikiultras;24/02/2021 12:48
19;CLrGAGdj-rc;http://instagram.com/p/CLrGAGdj-rc;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/153172659_439497230691958_309278927540966292_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=pivsL1YAZXcAX8HQguB&tp=1&oh=a0907363dc56d30e24ee1251accf1d3c&oe=60615B8E;102;8926196737;Desna - DYNAMO KYIV  21.02.2021 <U+0001F1FA><U+0001F1E6> . . #wbc_kyiv #ultrasdynamo #ultrasdynamokyiv #dynamokyiv #dynamokyev #ukraineultras #ultrasukraine #ultras #tifo #hools #hooligans #ultrasworld #ultrastifo #ultrasstyle #ultraslife #ultrasliberi #ultrasmentality #footballfans #footballfanatics #footballhooligans #fanatics #supporters #footballultras #againstmodernfootball #tifosi #ontour #awaydays #nopyronoparty #hooltras;24/02/2021 12:30
20;CLrCofpLMzj;http://instagram.com/p/CLrCofpLMzj;https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-15/e35/153130837_783616999195468_5339122424537502676_n.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=zdzWif9Sml0AX89AlDH&tp=1&oh=e00ea2297a6e62a0df74539e2f6727be&oe=605E89B4;75;11571115303;<U+041F><U+043E> <U+0443><U+043B><U+0438><U+0446><U+0438><U+0442><U+0435> <U+043D><U+0430> <U+0411><U+0443><U+0440><U+0433><U+0430><U+0441>, <U+043A><U+0440><U+0430><U+0447><U+0430><U+0442> <U+0443><U+043B><U+0442><U+0440><U+0430><U+0441> <U+0445><U+0443><U+043B><U+0438><U+0433><U+0430><U+043D><U+0441>! <N> #ultrasbulgaria #ultras #againstmodernfootball #hooligans #acab #bulgaria #ultrastifo #ultrasworld #passion #ultrasliberi #ultrasmentality #casualstyle #gruppaof #1312 #allcopsarebastards #ultraspassion;24/02/2021 12:01
